id1,id2,id3,R2_N3_cv,R2_N3_fit
2,17,29,-1.612,0.689
2,17,30,-0.863,0.645
2,17,31,-0.975,0.644
2,18,19,-1.67,0.56
2,18,20,-1.524,0.78
2,18,21,-2.168,0.488
2,18,22,-2.808,0.48
2,18,23,-1.039,0.552
2,18,24,-1.187,0.602
2,18,25,-1.818,0.677
2,18,26,-0.59,0.549
2,18,27,-4.074,0.448
2,18,28,-2.065,0.685
2,18,29,-2.852,0.486
2,18,30,-1.975,0.5
2,18,31,-2.11,0.485
2,19,20,-1.657,0.572
2,19,21,-1.784,0.656
2,19,22,-2.046,0.66
2,19,23,-1.013,0.563
2,19,24,-1.268,0.495
2,19,25,-1.856,0.488
2,19,26,0.033,0.805
2,19,27,-3.325,0.442
2,19,28,-1.831,0.644
2,19,29,-2.653,0.555
2,19,30,-1.345,0.673
2,19,31,-1.406,0.65
2,20,21,-1.652,0.717
2,20,22,-2.244,0.686
2,20,23,-1.148,0.589
2,20,24,-1.136,0.596
2,20,25,-1.892,0.568
2,20,26,-0.392,0.735
2,20,27,-4.704,0.587
2,20,28,-2.121,0.705
2,20,29,-2.085,0.8
2,20,30,-1.599,0.667
2,20,31,-1.525,0.663
2,21,22,-2.958,0.473
2,21,23,-1.309,0.518
2,21,24,-1.159,0.593
2,21,25,-1.678,0.587
2,21,26,-0.501,0.564
2,21,27,-6.374,0.478
2,21,28,-2.062,0.683
2,21,29,-2.369,0.509
2,21,30,-1.945,0.469
2,21,31,-2.104,0.469
2,22,23,-1.525,0.507
2,22,24,-1.251,0.559
2,22,25,-2.31,0.579
2,22,26,-0.419,0.549
2,22,27,-6.911,0.449
2,22,28,-2.338,0.676
2,22,29,-4.382,0.496
2,22,30,-2.725,0.457
2,22,31,-2.4,0.443
2,23,24,-0.415,0.588
2,23,25,-1.3,0.504
2,23,26,0.118,0.634
2,23,27,-5.482,0.44
2,23,28,-1.749,0.656
2,23,29,-1.58,0.547
2,23,30,-1.13,0.496
2,23,31,-1.072,0.489
2,24,25,-1.236,0.563
2,24,26,-0.203,0.627
2,24,27,-1.54,0.484
2,24,28,-0.889,0.716
2,24,29,-1.872,0.575
2,24,30,-1.084,0.6
2,24,31,-1.123,0.584
2,25,26,-0.427,0.673
2,25,27,-3.25,0.464
2,25,28,-1.845,0.637
2,25,29,-2.403,0.618
2,25,30,-1.697,0.542
2,25,31,-1.695,0.537
2,26,27,-0.673,0.554
2,26,28,-0.16,0.771
2,26,29,-0.496,0.604
2,26,30,-0.358,0.561
2,26,31,-0.353,0.555
2,27,28,-1.868,0.656
2,27,29,-6.338,0.43
2,27,30,-5.881,0.457
2,27,31,-6.24,0.44
2,28,29,-2.035,0.695
2,28,30,-2.02,0.65
2,28,31,-1.94,0.649
2,29,30,-2.174,0.52
2,29,31,-2.407,0.507
2,30,31,-1.82,0.524
3,4,5,-1.129,0.528
3,4,6,-0.978,0.472
3,4,7,-1.015,0.533
3,4,8,-1.448,0.563
3,4,9,-1.298,0.608
3,4,10,-1.445,0.652
3,4,11,-0.903,0.64
3,4,12,-1.079,0.531
3,4,13,-0.807,0.528
3,4,14,-1.219,0.454
3,4,15,-0.454,0.641
3,4,16,-0.814,0.541
3,4,17,-0.69,0.568
3,4,18,-0.641,0.769
3,4,19,-1.025,0.516
3,4,20,-1.011,0.513
3,4,21,-0.786,0.705
3,4,22,-1.228,0.672
3,4,23,-0.654,0.574
3,4,24,-0.489,0.64
3,4,25,-0.911,0.553
3,4,26,-0.153,0.753
3,4,27,-2.487,0.539
3,4,28,-0.812,0.536
3,4,29,-1.124,0.676
3,4,30,-0.683,0.621
3,4,31,-0.843,0.62
3,5,6,-1.145,0.499
3,5,7,-1.87,0.605
3,5,8,-2.171,0.721
3,5,9,-1.968,0.544
3,5,10,-1.851,0.598
3,5,11,-1.543,0.648
3,5,12,-1.683,0.469
3,5,13,-1.234,0.454
3,5,14,-1.702,0.399
3,5,15,-0.51,0.581
3,5,16,-1.727,0.621
3,5,17,-0.891,0.576
3,5,18,-1.341,0.608
3,5,19,-1.322,0.653
3,5,20,-1.395,0.574
3,5,21,-1.833,0.605
3,5,22,-1.664,0.558
3,5,23,-0.835,0.591
3,5,24,-0.806,0.589
3,5,25,-1.259,0.658
3,5,26,-0.204,0.676
3,5,27,-7.451,0.423
3,5,28,-1.237,0.541
3,5,29,-1.53,0.461
3,5,30,-1.063,0.552
3,5,31,-1.125,0.542
3,6,7,-1.375,0.532
3,6,8,-1.513,0.559
3,6,9,-1.006,0.664
3,6,10,-1.117,0.699
3,6,11,-0.692,0.702
3,6,12,-1.073,0.522
3,6,13,-0.604,0.515
3,6,14,-1.141,0.447
3,6,15,-0.089,0.694
3,6,16,-1.063,0.584
3,6,17,-0.328,0.603
3,6,18,-0.952,0.629
3,6,19,-0.682,0.534
3,6,20,-1.062,0.523
3,6,21,-0.726,0.649
3,6,22,-1.483,0.613
3,6,23,-0.329,0.645
3,6,24,-0.315,0.649
3,6,25,-0.757,0.626
3,6,26,-0.085,0.716
3,6,27,-2.929,0.58
3,6,28,-0.888,0.548
3,6,29,-0.798,0.673
3,6,30,-0.778,0.6
3,6,31,-0.897,0.59
3,7,8,-2.5,0.563
3,7,9,-1.981,0.742
3,7,10,-2.124,0.771
3,7,11,-1.586,0.676
